"transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,Year,Month,Quarter,Day,masked_email,masked_phone,Revenue,Discount_Loss"
"44,213,Nancy Lee,104,8000.0,SHOES,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,NancyLee@yahoo.com,8856457242,successful,2025,May,2,14,Na*****@yahoo.com,88******42,18000.0,6000.0"
"45,220,Maria Walker,104,8000.0,shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,MariaWalker@gmail.com,7332505210,successful,2025,November,4,23,Ma*****@gmail.com,73******10,27200.0,4800.0"
"46,463,Kevin Cruz,104,8000.0,shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,KevinCruz@gmail.com,8067854173,successful,2025,April,2,27,Ke*****@gmail.com,80******73,36000.0,4000.0"
"47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,MichaelWelch@gmail.com,9639123250,successful,2025,August,3,27,Mi*****@gmail.com,96******50,900000.0,100000.0"
"48,222,Emily Hernandez,108,15000.0,Mixer grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,EmilyHernandez@gmail.com,8919398256,successful,2025,July,3,11,Em*****@gmail.com,89******56,11250.0,3750.0"
"49,971,Larry Ramos,103,1300.0,shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,Larry38@gmail.com,8961305114,successful,2025,July,3,10,La*****@gmail.com,89******14,5200.0,1300.0"
"50,670,Fernando Kelly,106,80000.0,SOFA,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,FernandoKelly@yahoo.com,8959444911,successful,2025,May,2,31,Fe*****@yahoo.com,89******11,340000.0,60000.0"
"51,485,James Harris,107,50000.0,DINING TABLE,Furniture,online,Delhi,2025-07-12,2,Card,0.1,JamesHarris@yahoo.com,8465057157,successful,2025,July,3,12,Ja*****@yahoo.com,84******57,90000.0,10000.0"
"52,883,Charles David,104,8000.0,shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,CharlesDavid@yahoo.com,6063347922,successful,2025,July,3,17,Ch*****@yahoo.com,60******22,4800.0,3200.0"
"53,202,Amanda Reed,103,1300.0,SHIRT,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,AmandaReed@yahoo.com,6574367299,successful,2025,November,4,3,Am*****@yahoo.com,65******99,1105.0,195.0"
"54,817,Nicole Ross,107,50000.0,DINING TABLE,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Nicole68@gmail.com,8278149866,successful,2025,July,3,25,Ni*****@gmail.com,82******66,112500.0,37500.0"
"55,801,Brandi Bryan,104,8000.0,SHOES,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Brandi31@gmail.com,7456816583,successful,2025,October,4,1,Br*****@gmail.com,74******83,28000.0,12000.0"
"56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,ErinRichmond@gmail.com,9295628578,successful,2026,February,1,20,Er*****@gmail.com,92******78,9600.0,6400.0"
"57,72,Michael Wood,105,45000.0,tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Michael77@gmail.com,8385570077,successful,2025,December,4,31,Mi*****@gmail.com,83******77,180000.0,45000.0"
"57,72,Michael Wood,105,45000.0,tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Michael77@gmail.com,8385570077,failed,2025,December,4,31,Mi*****@gmail.com,83******77,180000.0,45000.0"
"58,873,Tracy Bass,101,250000.0,laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,TracyBass@outlook.com,6881058034,successful,2025,October,4,28,Tr*****@outlook.com,68******34,637500.0,112500.0"
"59,854,Dennis Dorsey,108,15000.0,MIXER GRINDER,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,DennisDorsey@yahoo.com,7070302116,successful,2025,July,3,13,De*****@yahoo.com,70******16,38250.0,6750.0"
"60,874,Samuel Patel,106,80000.0,SOFA,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,Samuel51@gmail.com,6800413067,successful,2025,May,2,20,Sa*****@gmail.com,68******67,300000.0,100000.0"
"61,507,Thomas Cameron,104,8000.0,shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,ThomasCameron@outlook.com,9216552264,successful,2025,December,4,23,Th*****@outlook.com,92******64,11200.0,4800.0"
"62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Lisa63@gmail.com,7056446221,successful,2025,June,2,7,Li*****@gmail.com,70******21,30400.0,1600.0"
"63,182,Kathleen Castro,107,50000.0,dining table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,KathleenCastro@outlook.com,8815269367,successful,2026,February,1,25,Ka*****@outlook.com,88******67,162500.0,87500.0"
"64,341,Cory Alvarado,110,45000.0,MICROWAVE,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,CoryAlvarado@outlook.com,7632639155,successful,2025,December,4,14,Co*****@outlook.com,76******55,121500.0,13500.0"
"65,937,Nicole Woods,108,15000.0,Mixer grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,NicoleWoods@yahoo.com,9340979075,successful,2025,April,2,22,Ni*****@yahoo.com,93******75,22500.0,7500.0"
"66,164,Shawn Stewart,104,8000.0,SHOES,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,ShawnStewart@gmail.com,7161144854,successful,2025,April,2,16,Sh*****@gmail.com,71******54,11200.0,4800.0"
"67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,AllisonOliver@gmail.com,9833717624,successful,2026,April,2,4,Al*****@gmail.com,98******24,136500.0,58500.0"
"68,603,Shawn Roberson,104,8000.0,SHOES,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,ShawnRoberson@gmail.com,6400752575,successful,2025,September,3,30,Sh*****@gmail.com,64******75,27200.0,4800.0"
"69,656,Adam White,104,8000.0,shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,AdamWhite@yahoo.com,9099608407,successful,2025,August,3,29,Ad*****@yahoo.com,90******07,7200.0,800.0"
"70,687,Robert Estrada,110,45000.0,microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,RobertEstrada@yahoo.com,8685839773,successful,2026,April,2,5,Ro*****@yahoo.com,86******73,40500.0,4500.0"
"71,186,Dawn Garrett,105,45000.0,tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Dawn29@gmail.com,9627230201,successful,2026,January,1,23,Da*****@gmail.com,96******01,62999.99999999999,27000.0"
"72,865,Jessica Patterson,102,70000.0,PHONE,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,JessicaPatterson@outlook.com,9396230460,successful,2026,April,2,7,Je*****@outlook.com,93******60,56000.0,14000.0"
"73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,EmilyCohen@gmail.com,9199259627,successful,2026,March,1,9,Em*****@gmail.com,91******27,900000.0,100000.0"
"75,729,Elizabeth Hunt,108,15000.0,MIXER GRINDER,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,ElizabethHunt@outlook.com,8909629121,successful,2025,August,3,10,El*****@outlook.com,89******21,13500.0,1500.0"
"78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Samuel51@gmail.com,6800413067,successful,2025,June,2,11,Sa*****@gmail.com,68******67,28800.0,3200.0"
"79,977,Gloria Navarro,102,70000.0,PHONE,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,GloriaNavarro@yahoo.com,7212940862,successful,2025,May,2,16,Gl*****@yahoo.com,72******62,244999.99999999997,105000.0"
"80,735,Elizabeth Kemp,108,15000.0,mixer grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,ElizabethKemp@yahoo.com,6508791868,successful,2025,June,2,20,El*****@yahoo.com,65******68,71250.0,3750.0"
"81,704,Susan Thomas,107,50000.0,Dining table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,SusanThomas@outlook.com,6067266032,successful,2026,April,2,14,Su*****@outlook.com,60******32,187500.0,62500.0"
"82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,successful,2025,June,2,18,Kr*****@yahoo.com,60******23,600000.0,400000.0"
"82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,KristiWilson@yahoo.com,6043009323,failed,2025,June,2,18,Kr*****@yahoo.com,60******23,600000.0,400000.0"
"83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,James92@gmail.com,8278100360,successful,2025,June,2,28,Ja*****@gmail.com,82******60,108000.0,27000.0"
"84,379,Andres Stokes,105,45000.0,tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,successful,2025,November,4,7,An*****@yahoo.com,81******61,180000.0,45000.0"
"84,379,Andres Stokes,105,45000.0,tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,AndresStokes@yahoo.com,8106400361,failed,2025,November,4,7,An*****@yahoo.com,81******61,180000.0,45000.0"
"85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,AndrewVazquez@yahoo.com,9590808527,successful,2025,August,3,30,An*****@yahoo.com,95******27,1125000.0,125000.0"
"86,427,Kelly Mccormick,103,1300.0,SHIRT,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,KellyMccormick@outlook.com,6077306970,successful,2026,January,1,9,Ke*****@outlook.com,60******70,4940.0,260.0"
"87,454,Larry Perkins,102,70000.0,PHONE,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,LarryPerkins@yahoo.com,7903065336,successful,2025,November,4,4,La*****@yahoo.com,79******36,59500.0,10500.0"
"88,975,Jacqueline Doyle,110,45000.0,microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,JacquelineDoyle@outlook.com,8114950490,successful,2026,February,1,2,Ja*****@outlook.com,81******90,108000.0,27000.0"
"89,992,William Rose,107,50000.0,dining table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,William30@gmail.com,6993050906,successful,2025,December,4,20,Wi*****@gmail.com,69******06,212500.0,37500.0"
"90,439,Billy James,102,70000.0,phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,BillyJames@outlook.com,8969007874,successful,2026,March,1,24,Bi*****@outlook.com,89******74,126000.0,84000.0"
"91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,JoshuaBurton@outlook.com,6702016788,successful,2026,January,1,5,Jo*****@outlook.com,67******88,42000.0,28000.0"
"92,728,Lisa Miller,108,15000.0,MIXER GRINDER,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,LisaMiller@gmail.com,8704743795,successful,2026,March,1,28,Li*****@gmail.com,87******95,14250.0,750.0"
"93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,TaylorEllison@gmail.com,8256289832,successful,2025,December,4,16,Ta*****@gmail.com,82******32,297500.0,52500.0"
"94,50,Stacey Henderson,104,8000.0,SHOES,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,Stacey33@gmail.com,6033182385,successful,2025,February,1,11,St*****@gmail.com,60******85,24000.0,8000.0"
"95,478,Crystal Mejia,107,50000.0,dining table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,CrystalMejia@outlook.com,8434061187,successful,2025,July,3,18,Cr*****@outlook.com,84******87,30000.0,20000.0"
"96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,StephanieHanna@outlook.com,9697218701,successful,2025,December,4,27,St*****@outlook.com,96******01,38250.0,6750.0"
"98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,Brandon83@gmail.com,7856541702,successful,2025,October,4,31,Br*****@gmail.com,78******02,191250.0,33750.0"
"99,753,Kelly Ball,102,70000.0,phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,KellyBall@gmail.com,6595322869,successful,2025,October,4,7,Ke*****@gmail.com,65******69,178500.0,31500.0"
"100,864,Cameron Black,109,65000.0,REFRIGERATOR,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,CameronBlack@yahoo.com,9938169477,successful,2025,April,2,20,Ca*****@yahoo.com,99******77,55250.0,9750.0"
"101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,JoshuaBurton@outlook.com,6702016788,successful,2026,February,1,19,Jo*****@outlook.com,67******88,52500.0,17500.0"
"102,1000,Shannon Haley,103,1300.0,SHIRT,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,Shannon54@gmail.com,7650606701,successful,2025,May,2,30,Sh*****@gmail.com,76******01,3315.0,585.0"
"103,909,Jacqueline Frye,105,45000.0,tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,JacquelineFrye@gmail.com,6054912895,successful,2025,September,3,5,Ja*****@gmail.com,60******95,87750.0,47250.0"
"104,788,William Wright,107,50000.0,Dining table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,WilliamWright@gmail.com,8502405393,successful,2025,June,2,30,Wi*****@gmail.com,85******93,85000.0,15000.0"
"105,713,Jason Griffin,107,50000.0,DINING TABLE,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,Jason36@gmail.com,8944628007,successful,2026,February,1,26,Ja*****@gmail.com,89******07,47500.0,2500.0"
"106,54,Jessica Hernandez,105,45000.0,TV,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,JessicaHernandez@outlook.com,7144391854,successful,2026,February,1,27,Je*****@outlook.com,71******54,85500.0,4500.0"
"107,89,Joseph Davis,106,80000.0,SOFA,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,JosephDavis@yahoo.com,7335998548,successful,2025,March,1,9,Jo*****@yahoo.com,73******48,208000.0,112000.0"
"108,724,Kimberly Winters,103,1300.0,shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,Kimberly55@gmail.com,8442961493,successful,2025,June,2,22,Ki*****@gmail.com,84******93,3380.0,1819.9999999999998"
"109,128,Ethan Porter,104,8000.0,SHOES,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,EthanPorter@yahoo.com,6960954264,successful,2026,February,1,3,Et*****@yahoo.com,69******64,19200.0,4800.0"
"110,264,Kelli Johnson,107,50000.0,Dining table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,Kelli81@gmail.com,9866676731,successful,2025,August,3,25,Ke*****@gmail.com,98******31,80000.0,20000.0"
"111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,KevinKing@yahoo.com,8955005430,successful,2026,February,1,18,Ke*****@yahoo.com,89******30,360000.0,40000.0"
"112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,MelissaGarza@gmail.com,6928004306,successful,2025,September,3,14,Me*****@gmail.com,69******06,59500.0,10500.0"
"113,286,Carmen Sanders,108,15000.0,Mixer grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,Carmen60@gmail.com,8828050019,successful,2026,January,1,12,Ca*****@gmail.com,88******19,36000.0,24000.0"
"114,484,Eric Cabrera,101,250000.0,LAPTOP,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,EricCabrera@gmail.com,6116978733,successful,2025,April,2,7,Er*****@gmail.com,61******33,562500.0,187500.0"
"115,270,Katherine Shaw,107,50000.0,Dining table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,KatherineShaw@yahoo.com,9069927908,successful,2025,December,4,16,Ka*****@yahoo.com,90******08,45000.0,5000.0"
"116,756,Juan Mata,103,1300.0,shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,JuanMata@yahoo.com,6819524818,successful,2025,November,4,22,Ju*****@yahoo.com,68******18,4160.0,1040.0"
"117,937,Nicole Woods,107,50000.0,Dining table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,NicoleWoods@yahoo.com,9340979075,successful,2025,July,3,28,Ni*****@yahoo.com,93******75,130000.0,70000.0"
"118,206,Kevin Cox,105,45000.0,tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,KevinCox@outlook.com,9312735408,successful,2025,April,2,18,Ke*****@outlook.com,93******08,27000.0,18000.0"
"119,822,Christine Rivera,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,ChristineRivera@yahoo.com,6691516621,successful,2026,February,1,24,Ch*****@yahoo.com,66******21,375000.0,125000.0"
"120,618,Alan Torres,110,45000.0,MICROWAVE,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,AlanTorres@yahoo.com,7353183305,successful,2025,September,3,23,Al*****@yahoo.com,73******05,168750.0,56250.0"
"121,175,Shelby Casey,109,65000.0,refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,Shelby95@gmail.com,8155671133,successful,2025,May,2,30,Sh*****@gmail.com,81******33,48750.0,16250.0"
"122,549,Jacob Hopkins,102,70000.0,phone,Electronics,online,Bangalore,2025-05-17,4,Cash,0.15,Jacob69@gmail.com,6812496590,successful,2025,May,2,17,Ja*****@gmail.com,68******90,238000.0,42000.0"
